id,phrase,language,sentiment,emotion,emotion_intensity,intent,context,audio_path,is_regional
1,On cloud nine,en,Positive,Joy,High,Self-Expression,idiom,audio/en/1.wav,No
2,Lump in your throat,en,Negative,Sadness,Moderate,Self-Expression,idiom,audio/en/2.wav,No
3,Feeling blue,en,Negative,Sadness,Mild,Self-Expression,idiom,audio/en/3.wav,No
4,Reduce to tears,en,Negative,Sadness,High,Trigger,everyday expression,audio/en/4.wav,No
5,On pins and needles,en,Negative,Anxiety,Moderate,Self-Expression,idiom,audio/en/5.wav,No
6,Guay,es,Positive,Joy,Moderate,Self-Expression,slang,audio/es/6.wav,No
7,Estar en las nubes,es,Neutral,Calm / Distracted,Mild,Self-Expression,idiom,audio/es/7.wav,No
8,Tomar el pelo,es,Positive,Humor,Moderate,Self-Expression,idiom,audio/es/8.wav,No
9,¡Rompe todo!,es,Positive,Excitement,High,Encouragement,everyday expression,audio/es/9.wav,No
10,¡Dales con todo!,es,Positive,Motivation,High,Encouragement,everyday expression,audio/es/10.wav,No
11,속상해,kr,Negative,Upset,Moderate,Self-Expression,everyday expression,audio/kr/11.wav,No
12,화이팅,kr,Positive,Motivation,High,Encouragement,slang,audio/kr/12.wav,No
13,대박,kr,Positive,Excitement,High,Self-Expression,slang,audio/kr/13.wav,No
14,괜찮아요,kr,Neutral,Calm / Reassurance,Mild,Self-Expression,everyday expression,audio/kr/14.wav,No
15,몰라요,kr,Neutral,Indifferent / Confused,Mild,Self-Expression,everyday expression,audio/kr/15.wav,No
16,سعيد,ar,Positive,Joy,Moderate,Self-Expression,everyday expression,audio/ar/16.wav,No
17,حزين,ar,Negative,Sadness,Moderate,Self-Expression,everyday expression,audio/ar/17.wav,No
18,غاضب,ar,Negative,Anger,High,Self-Expression,everyday expression,audio/ar/18.wav,No
19,خوف,ar,Negative,Fear,Moderate,Self-Expression,everyday expression,audio/ar/19.wav,No
20,زهقان,ar,Neutral,Boredom,Mild,Self-Expression,slang,audio/ar/20.wav,No
21,我很高兴,zh,Positive,Joy,Moderate,Self-Expression,everyday expression,audio/zh/21.wav,No
22,我很伤心,zh,Negative,Sadness,Moderate,Self-Expression,everyday expression,audio/zh/22.wav,No
23,我非常开心,zh,Positive,Joy,High,Self-Expression,everyday expression,audio/zh/23.wav,No
24,兴奋,zh,Positive,Excitement,High,Self-Expression,everyday expression,audio/zh/24.wav,No
25,失望,zh,Negative,Disappointment,Moderate,Self-Expression,everyday expression,audio/zh/25.wav,No
26,Estar de bajón,es,Negative,Sadness,Mild,Self-Expression,idiom,audio/es/26.wav,No
27,Estar bajoneado,es,Negative,Sadness,Mild,Self-Expression,idiom/slang,audio/es/27.wav,Yes
28,기분이 안 좋아요,kr,Negative,Sadness,Mild,Self-Expression,everyday expression,audio/kr/28.wav,No
29,기분이 꿀꿀해요,kr,Negative,Sadness,Mild,Self-Expression,idiom/slang,audio/kr/29.wav,Yes
30,أشعرُ بالضيق,ar,Negative,Sadness,Mild,Self-Expression,everyday expression,audio/ar/30.wav,No
31,مخنوق,ar,Negative,Sadness,Mild,Self-Expression,slang/colloquial,audio/ar/31.wav,Yes
32,我有点难过,zh,Negative,Sadness,Mild,Self-Expression,everyday expression,audio/zh/32.wav,No
33,情绪低落,zh,Negative,Sadness,Mild,Self-Expression,formal/literary,audio/zh/33.wav,No
34,心情不好,zh,Negative,Sadness,Mild,Self-Expression,everyday expression,audio/zh/34.wav,No
35,心情压抑,zh,Negative,Sadness,Moderate,Self-Expression,literary,audio/zh/35.wav,No
36,Estoy que no quepo en mí de la alegría,es,Positive,Joy,High,Self-Expression,idiom,audio/es/36.wav,No
37,Estoy loco de alegría,es,Positive,Joy,High,Self-Expression,everyday expression,audio/es/37.wav,No
38,Estar en el séptimo cielo,es,Positive,Joy,High,Self-Expression,idiom,audio/es/38.wav,No
39,Estar loco de contento,es,Positive,Joy,High,Self-Expression,colloquial,audio/es/39.wav,No
40,طاير من الفرحه,ar,Positive,Joy,High,Self-Expression,slang,audio/ar/40.wav,Yes
